Time,Name,Status,Notes
2026-01-30 13:26:40,Main Pump,IDLE,
2026-01-30 13:26:57,Main Pump,Running,
2026-01-30 13:27:01,Main Pump,IDLE,
2026-01-30 13:27:24,Main Pump,Priming,
2026-01-30 13:27:24,Main Pump,Running,
2026-01-30 13:27:24,Main Pump,IDLE,
2026-02-01 14:36:36,Main Pump,IDLE,
2026-02-05 14:37:53,Main Pump,IDLE,
2026-02-05 14:42:11,Main Pump,IDLE,
2026-02-05 14:44:35,Main Pump,IDLE,
2026-02-06 11:32:56,Main Pump,IDLE,
2026-02-06 11:35:00,Main Pump,IDLE,
2026-02-06 11:35:14,Main Pump,Running,
2026-02-06 11:35:46,Main Pump,IDLE,
2026-02-06 11:36:33,Main Pump,IDLE,
2026-02-06 11:38:00,Main Pump,IDLE,
2026-02-06 11:38:10,Main Pump,Priming,
2026-02-06 11:38:10,Main Pump,Running,
2026-02-06 11:38:10,Main Pump,IDLE,
2026-02-06 11:38:11,Main Pump,Priming,
2026-02-06 11:38:11,Main Pump,Running,
2026-02-06 11:38:11,Main Pump,IDLE,
2026-02-06 11:40:36,Main Pump,IDLE,
2026-02-06 11:42:04,Main Pump,IDLE,
2026-02-06 11:43:52,Main Pump,IDLE,
2026-02-06 11:45:02,Main Pump,Running,
2026-02-06 11:45:12,Main Pump,IDLE,
2026-02-06 11:45:15,Main Pump,Priming,
2026-02-06 11:45:15,Main Pump,Running,
2026-02-06 11:45:15,Main Pump,IDLE,
2026-02-06 11:45:32,Main Pump,Running,
2026-02-06 11:49:34,Main Pump,IDLE,
2026-02-06 11:49:56,Main Pump,Running,
2026-02-06 12:52:40,Main Pump,IDLE,
2026-02-06 12:53:04,Main Pump,Running,
2026-02-06 12:53:22,Main Pump,IDLE,
2026-02-13 10:06:11,Main Pump,IDLE,
2026-02-13 10:10:13,Main Pump,IDLE,
2026-02-13 10:11:28,Main Pump,IDLE,
2026-02-13 10:16:24,Main Pump,IDLE,
2026-02-13 10:25:41,Main Pump,IDLE,
